Time (If present, indicates this begins a new session)	Session or paper title	Session chair, speaker, or authors	Paper filename
8:20am – 8:30am	Opening 	James Kempf, Stefan Schmid	
8:30am – 9:15am	Keynote Randall J. Sobie: Distributed Cloud Computing in High Energy Physics	Rick McGeer	
9:15am – 10:05am	Session 1: Scalability and Performance	Justin Cappos	
	ProActive Routing in Scalable Data Centers with PARIS 	D. Arora, T. Benson, J. Rexford	
	Modeling and Simulation of Concurrent Workload Processing in Cloud-Distributed Enterprise Information System	A. Antonescu, T. Braun	
10:05am – 10:20am	Coffee		
10:20am – 11:35am	Session 2: Networking and Security	Paolo Costa	
	Invited Paper: DEIDtect: Towards Distributed Elastic Intrusion Detection	Praveen Kumar Shanmugam, Naveen Dasa Subramanyam, Joe Breen, Corey Roach, Jacobus Van der Merwe	
	Performance of Network and Computing Resource Sharing in Federated Cloud	W. Cerroni	
	Capacity of Inter-Cloud Layer-2 Virtual Networking	Y. Xin, I. Baldin, C. Heermann, A. Mandal, P. Ruth	
11:35am – noon	Poster Pitches	Rick McGeer	
	A Virtual Machine Repacking in Clouds: Faster Live Migration Algorithms	M. Hadji, P. Labrogère	
	Experiences with Distributed Heterogeneous Clouds over Community Networks	M. Selimi, F. Freitag, R. Centelles, P. Escrich, D. Marti, R. Baig	
	Traffic-Aware Clustering and VM Migration in Distributed Data Center	M. Cello, K. Xi, J. Chao, M. Marchese	
	ParaDrop: A Multi-tenant Platform for Dynamically Installed Third Party Services On Home Gateways	D. Willis, A. Dasgupta, S. Banerjee	
	Green Latency-aware Data Deployment in Data Centers: Balancing Latency, Energy in Networks and Servers	Y. Fan, H. Ding, D. Hu	
noon - 1:45pm	Lunch		
1:45pm-3:00pm	Session 3: Optimization and Resource Allocation 	Stefan Schmid	
	Response Time-Optimized Distributed Cloud Resource Allocation	M. Keller, H. Karl	
	A Decomposition-based Architecture for Distributed Virtual Network Embedding 	F. Esposito, I. Matta	
	Optimizing Job Reliability via Contention-Free, Distributed Scheduling of VM 	Y. Xiang, H. Liu, T. Lan, H. Huang, S. Subramaniam	
3:00pm-3:15pm	Coffee		
3:15pm-4:30pm	Session 4: Software-Defined Networking 	Xenofontas Dimitropoulos	
	Traffic Steering in Software Defined Networks: Planning and Online Routing	Z. Cao, M. Kodialam, T. Lakshman	
	Design and Implementation of an OpenFlow Hardware Abstraction Layer	D. Parniewicz, R. Corin, L. Ogrodowczyk, M. Fard, J. Matias, M. Gerola, U. Toseef, A. Zaalouk, B. Belter, K. Pentikousis, E. Jacob, V. Fuentes	
	Achieving Efficient and Fast Update for Multiple Flows in Software-Defined Networks 	Y. Liu, Y. Li, Y. Wang, A. Vasilakos, J. Yuan	
4:30-5:30	Panel and Discussion	Chip Elliot, James Kempf, Rick McGeer, Lawrence Landweber, Stefan Schmid	
5:30-5:40	Closing	James Kempf, Stefan Schmid	
