Time (If present, indicates this begins a new session)	Session or paper title	Session chair, speaker, or authors	Paper filename
8:30am – 8:45am	Opening	Sami Rollins, Katia Jaffrès-Runser	
8:50am – 9:30am	Keynote #1 - Deb Agarwal, Lawrence Berkeley National Laboratory, University of California	Sami Rollins	
9:35am – 10:35am	Mentoring Session #1 - Topic-Hopping: Speed Discussion on Selected Topics		
10:40am - 11:00am	Break		
11:00am - 12:00am	Panel #1: From Student to PI - Becoming an Independent Researcher	Katia Jaffrès-Runser	Panelists: Aruna Balasubramanian, Fabian Bustamante, Ramóm Cáceres, Sonia Fahmy
12:00am - 1:30pm	Lunch		
1:30pm - 2:10pm	Keynote #2 - Ramón Cáceres, AT&T	Katia Jaffrès-Runser	
2:15pm - 3:15pm	Panel #2 : Taking on Professional Service and Leadership Roles.	Sami Rollins	Panelists: Klara Nahrstedt, Graciela Perera, Joel Branch, Deb Agarwal
3:15pm - 3:30pm	Break		
3:30pm - 4:30pm	Poster session 	Claire Goursaud	
4:30pm - 5:30pm	Mentoring Session #2 - Topic-Diving: Breakout Discussion on Selected Topics		
